# ANI ranges report for assembly: GCA_000007565.2
# Submitted organism: Pseudomonas putida KT2440 (taxid = 160488, rank = no rank, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pseudomonas putida (taxid = 303, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AE015451.2	CIRCULAR	2890655	2897689	6181873	CP101910.1	2262991	2270052	GCA_024508115.1	Pseudomonas putida	89.586	96	0.1138
-	AE015451.2	CIRCULAR	2897710	2899176	6181873	CP101910.1	2270124	2271590	GCA_024508115.1	Pseudomonas putida	88.8965	96	0.0237307
-	AE015451.2	CIRCULAR	2899201	2903556	6181873	CP101910.1	2271686	2276033	GCA_024508115.1	Pseudomonas putida	90.8549	96	0.0704641
S	AE015451.2	CIRCULAR	2903593	2905850	6181873	BLJF01000001.1	1497970	1500227	GCA_009932335.1	Pseudomonas asiatica	85.6827	96	0.0365261
S	AE015451.2	CIRCULAR	2906023	2918177	6181873	BBIS01000041.1	36607	48761	GCA_000730605.1	Pseudomonas monteilii	89.8438	95.5	0.196623
-	AE015451.2	CIRCULAR	2918178	2918301	6181873	CP101910.1	2277269	2277393	GCA_024508115.1	Pseudomonas putida	94.4	96	0.00200586
S	AE015451.2	CIRCULAR	2918302	2920542	6181873	BBIS01000041.1	48886	51117	GCA_000730605.1	Pseudomonas monteilii	87.0205	95.5	0.0362511
S	AE015451.2	CIRCULAR	2920543	2921234	6181873	BLJF01000001.1	1514785	1515476	GCA_009932335.1	Pseudomonas asiatica	81.3486	96	0.011194
S	AE015451.2	CIRCULAR	2921235	2921810	6181873	CP119325.1	4451076	4451651	GCA_029202525.1	Candidatus Pseudomonas phytovorans	85.7639	96	0.00931756
-	AE015451.2	CIRCULAR	2921927	2922446	6181873	CP101910.1	2321997	2322517	GCA_024508115.1	Pseudomonas putida	90.8046	96	0.00841169
-	AE015451.2	CIRCULAR	2922481	2925328	6181873	CP101910.1	2328728	2331576	GCA_024508115.1	Pseudomonas putida	86.1189	96	0.0460702
-	AE015451.2	CIRCULAR	2925817	2929203	6181873	CP101910.1	2331758	2335146	GCA_024508115.1	Pseudomonas putida	88.5191	96	0.0547892
-	AE015451.2	CIRCULAR	2929204	2935691	6181873	CP101910.1	2335434	2341920	GCA_024508115.1	Pseudomonas putida	88.5191	96	0.104952
-	AE015451.2	CIRCULAR	2935752	2937643	6181873	CP101910.1	2342317	2344212	GCA_024508115.1	Pseudomonas putida	91.0865	96	0.0306056
S	AE015451.2	CIRCULAR	2939116	2939401	6181873	BSOM01000025.1	62	346	GCA_030160515.1	Pseudomonas plecoglossicida	93.7063	96	0.00462643
-	AE015451.2	CIRCULAR	2939449	2940555	6181873	CP101910.1	2344298	2345393	GCA_024508115.1	Pseudomonas putida	87.917	96	0.0179072
-	AE015451.2	CIRCULAR	2940645	2942241	6181873	CP101910.1	2345422	2347014	GCA_024508115.1	Pseudomonas putida	87.6952	96	0.0258336
S	AE015451.2	CIRCULAR	2942242	2945751	6181873	BBIS01000030.1	126527	130031	GCA_000730605.1	Pseudomonas monteilii	87.6245	95.5	0.0567789
-	AE015451.2	CIRCULAR	2945780	2947888	6181873	CP101910.1	2349567	2351667	GCA_024508115.1	Pseudomonas putida	88.8416	96	0.0341159
S	AE015451.2	CIRCULAR	2947914	2948434	6181873	CP119325.1	4392295	4392815	GCA_029202525.1	Candidatus Pseudomonas phytovorans	86.3724	96	0.00842787
-	AE015451.2	CIRCULAR	2948435	2949145	6181873	CP101910.1	2352321	2353013	GCA_024508115.1	Pseudomonas putida	78.8595	96	0.0115014
S	AE015451.2	CIRCULAR	2949146	2949731	6181873	BBIS01000030.1	133523	134109	GCA_000730605.1	Pseudomonas monteilii	80.7432	95.5	0.00947933
-	AE015451.2	CIRCULAR	2949853	2951269	6181873	CP101910.1	2363874	2365291	GCA_024508115.1	Pseudomonas putida	92.0366	96	0.0229219
-	AE015451.2	CIRCULAR	2951381	2958734	6181873	CP101910.1	2375698	2383019	GCA_024508115.1	Pseudomonas putida	90.5059	96	0.118961
S	AE015451.2	CIRCULAR	2958818	2960640	6181873	CP119325.1	4344079	4345899	GCA_029202525.1	Candidatus Pseudomonas phytovorans	89.863	96	0.0294894
S	AE015451.2	CIRCULAR	2960641	2960870	6181873	OLKI01000021.1	1	230	GCA_900291065.1	Pseudomonas shirazica	99.5652	96	0.00372056
S	AE015451.2	CIRCULAR	2960871	2963435	6181873	CP119325.1	4341274	4343848	GCA_029202525.1	Candidatus Pseudomonas phytovorans	92.3913	96	0.0414923
S	AE015451.2	CIRCULAR	2963436	2963712	6181873	OLKI01000022.1	1	277	GCA_900291065.1	Pseudomonas shirazica	99.639	96	0.00448084
S	AE015451.2	CIRCULAR	2963713	2969052	6181873	CP119325.1	4335657	4340996	GCA_029202525.1	Candidatus Pseudomonas phytovorans	92.0599	96	0.0863816
-	AE015451.2	CIRCULAR	2969053	2969636	6181873	CP101910.1	2383081	2383665	GCA_024508115.1	Pseudomonas putida	91.4966	96	0.00944698
S	AE015451.2	CIRCULAR	2969637	2972015	6181873	BLJF01000001.1	1553684	1556062	GCA_009932335.1	Pseudomonas asiatica	85.0966	96	0.0384835
-	AE015451.2	CIRCULAR	2972160	2976881	6181873	CP101910.1	2386283	2391008	GCA_024508115.1	Pseudomonas putida	87.1118	96	0.0763846
-	AE015451.2	CIRCULAR	2976980	2978586	6181873	CP101910.1	2391204	2392809	GCA_024508115.1	Pseudomonas putida	91.7237	96	0.0259954
-	AE015451.2	CIRCULAR	2978618	2984115	6181873	CP101910.1	2397895	2403379	GCA_024508115.1	Pseudomonas putida	86.381	96	0.0889374
S	AE015451.2	CIRCULAR	2984227	2984515	6181873	CP114035.2	2382965	2383252	GCA_026898135.2	Pseudomonas fortuita	90.6574	96	0.00467496
S	AE015451.2	CIRCULAR	2984546	2985028	6181873	JHYV01000029.1	1356	1838	GCA_000621245.1	Pseudomonas monteilii	85.5967	95.5	0.00781317
-	AE015451.2	CIRCULAR	2986246	2987208	6181873	CP101910.1	3567809	3568771	GCA_024508115.1	Pseudomonas putida	88.278	96	0.0155778
S	AE015451.2	CIRCULAR	2987209	2987439	6181873	OLKI01000271.1	1	231	GCA_900291065.1	Pseudomonas shirazica	97.4026	96	0.00373673
-	AE015451.2	CIRCULAR	2987440	2988414	6181873	CP101910.1	3566605	3567577	GCA_024508115.1	Pseudomonas putida	87.1795	96	0.0157719
S	AE015451.2	CIRCULAR	2988415	2996508	6181873	CP114035.2	2387150	2395247	GCA_026898135.2	Pseudomonas fortuita	86.0125	96	0.130931
-	AE015451.2	CIRCULAR	2996509	2996971	6181873	CP101910.1	2395024	2395486	GCA_024508115.1	Pseudomonas putida	92.2246	96	0.00748964
S	AE015451.2	CIRCULAR	2996972	2998268	6181873	CP114035.2	2395711	2397007	GCA_026898135.2	Pseudomonas fortuita	93.2151	96	0.0209807
S	AE015451.2	CIRCULAR	2998269	2998505	6181873	OLKI01000023.1	1	237	GCA_900291065.1	Pseudomonas shirazica	97.0464	96	0.00383379
S	AE015451.2	CIRCULAR	2998506	3002097	6181873	CP114035.2	2397245	2400837	GCA_026898135.2	Pseudomonas fortuita	90.6285	96	0.0581054
-	AE015451.2	CIRCULAR	3002098	3002465	6181873	CP101910.1	2394656	2395023	GCA_024508115.1	Pseudomonas putida	86.9565	96	0.00595289
S	AE015451.2	CIRCULAR	3002466	3004670	6181873	CP114035.2	2401206	2403416	GCA_026898135.2	Pseudomonas fortuita	88.4668	96	0.0356688
-	AE015451.2	CIRCULAR	3004671	3006998	6181873	CP101910.1	2395487	2397813	GCA_024508115.1	Pseudomonas putida	90.5498	96	0.0376585
-	AE015451.2	CIRCULAR	3007128	3008987	6181873	CP101910.1	2411197	2413059	GCA_024508115.1	Pseudomonas putida	88.1374	96	0.030088
-	AE015451.2	CIRCULAR	3009076	3023340	6181873	CP101910.1	2413138	2427399	GCA_024508115.1	Pseudomonas putida	85.9397	96	0.230755
S	AE015451.2	CIRCULAR	3023341	3024156	6181873	CP114035.2	2413708	2414523	GCA_026898135.2	Pseudomonas fortuita	85.3121	96	0.0131999
-	AE015451.2	CIRCULAR	3024352	3028092	6181873	CP101910.1	2442356	2446110	GCA_024508115.1	Pseudomonas putida	86.4168	96	0.0605156
-	AE015451.2	CIRCULAR	3028252	3033842	6181873	CP101910.1	2448687	2454300	GCA_024508115.1	Pseudomonas putida	90.3542	96	0.0904418
-	AE015451.2	CIRCULAR	3033863	3035335	6181873	CP101910.1	2454436	2455911	GCA_024508115.1	Pseudomonas putida	90.0609	96	0.0238277
-	AE015451.2	CIRCULAR	3035481	3036505	6181873	CP101910.1	2456902	2457920	GCA_024508115.1	Pseudomonas putida	89.0838	96	0.0165807
-	AE015451.2	CIRCULAR	3036667	3040246	6181873	CP101910.1	2457954	2461531	GCA_024508115.1	Pseudomonas putida	88.734	96	0.0579113
S	AE015451.2	CIRCULAR	3040785	3042120	6181873	JABWSB020000003.1	200668	202003	GCA_014269245.2	Pseudomonas kurunegalensis	83.7192	96	0.0216116
-	AE015451.2	CIRCULAR	3043243	3048597	6181873	CP101910.1	2465072	2470427	GCA_024508115.1	Pseudomonas putida	92.4934	96	0.0866242
-	AE015451.2	CIRCULAR	3048598	3050026	6181873	CP101910.1	2470490	2471918	GCA_024508115.1	Pseudomonas putida	92.4934	96	0.023116
-	AE015451.2	CIRCULAR	3050036	3054624	6181873	CP101910.1	2472010	2476599	GCA_024508115.1	Pseudomonas putida	89.2818	96	0.0742332
S	AE015451.2	CIRCULAR	3054695	3054832	6181873	CP077097.1	2982519	2982662	GCA_014269225.2	Pseudomonas anuradhapurensis	70.3448	96	0.00223233
-	AE015451.2	CIRCULAR	3054833	3060637	6181873	CP101910.1	2476767	2482583	GCA_024508115.1	Pseudomonas putida	89.8884	96	0.0939036
-	AE015451.2	CIRCULAR	3060839	3061512	6181873	CP101910.1	2482632	2483305	GCA_024508115.1	Pseudomonas putida	89.911	96	0.0109028
-	AE015451.2	CIRCULAR	3061561	3065054	6181873	CP101910.1	2483497	2486989	GCA_024508115.1	Pseudomonas putida	91.3911	96	0.0565201
-	AE015451.2	CIRCULAR	3065055	3070463	6181873	CP101910.1	2487159	2492553	GCA_024508115.1	Pseudomonas putida	91.3911	96	0.0874978
S	AE015451.2	CIRCULAR	3070537	3070773	6181873	BBIS01000009.1	33974	34210	GCA_000730605.1	Pseudomonas monteilii	87.0293	95.5	0.00383379
S	AE015451.2	CIRCULAR	3070774	3071072	6181873	BLJF01000001.1	1649166	1649465	GCA_009932335.1	Pseudomonas asiatica	80.7947	96	0.00483672
-	AE015451.2	CIRCULAR	3071073	3073966	6181873	CP101910.1	2492828	2495721	GCA_024508115.1	Pseudomonas putida	91.3614	96	0.0468143
S	AE015451.2	CIRCULAR	3073967	3075114	6181873	BBIS01000009.1	37133	38277	GCA_000730605.1	Pseudomonas monteilii	81.6221	95.5	0.0185704
-	AE015451.2	CIRCULAR	3075222	3080243	6181873	CP101910.1	2500471	2505498	GCA_024508115.1	Pseudomonas putida	90.2463	96	0.0812375
S	AE015451.2	CIRCULAR	3080244	3080515	6181873	OLKI01000024.1	2	273	GCA_900291065.1	Pseudomonas shirazica	97.7941	96	0.00439996
-	AE015451.2	CIRCULAR	3080516	3084387	6181873	CP101910.1	2505770	2509641	GCA_024508115.1	Pseudomonas putida	91.0405	96	0.0626347
S	AE015451.2	CIRCULAR	3084388	3084641	6181873	OLKI01000025.1	1	254	GCA_900291065.1	Pseudomonas shirazica	97.2441	96	0.00410879
-	AE015451.2	CIRCULAR	3084642	3087548	6181873	CP101910.1	2509896	2512802	GCA_024508115.1	Pseudomonas putida	92.7761	96	0.0470246
S	AE015451.2	CIRCULAR	3087624	3088410	6181873	BBIS01000009.1	51295	52082	GCA_000730605.1	Pseudomonas monteilii	89.9873	95.5	0.0127308
S	AE015451.2	CIRCULAR	3088411	3088641	6181873	OLKI01000026.1	1	231	GCA_900291065.1	Pseudomonas shirazica	96.5368	96	0.00373673
S	AE015451.2	CIRCULAR	3088642	3089176	6181873	JABWSB020000003.1	158976	159510	GCA_014269245.2	Pseudomonas kurunegalensis	86.729	96	0.00865434
S	AE015451.2	CIRCULAR	3089177	3091391	6181873	BBIS01000009.1	52264	54487	GCA_000730605.1	Pseudomonas monteilii	86.3881	95.5	0.0358306
-	AE015451.2	CIRCULAR	3091395	3096951	6181873	CP101910.1	2529755	2535330	GCA_024508115.1	Pseudomonas putida	87.2763	96	0.0898918
S	AE015451.2	CIRCULAR	3097339	3098431	6181873	CP114035.2	2525601	2526693	GCA_026898135.2	Pseudomonas fortuita	88.2084	96	0.0176807
-	AE015451.2	CIRCULAR	3098485	3104827	6181873	CP101910.1	3969253	3975591	GCA_024508115.1	Pseudomonas putida	83.5063	96	0.102606
-	AE015451.2	CIRCULAR	3104847	3106104	6181873	CP101910.1	2598497	2599754	GCA_024508115.1	Pseudomonas putida	85.6235	96	0.0203498
S	AE015451.2	CIRCULAR	3106105	3107762	6181873	OPYN01000150.1	11920	13577	GCA_900277125.1	Pseudomonas inefficax	85.3277	96	0.0268204
S	AE015451.2	CIRCULAR	3108657	3109321	6181873	CP114035.2	2528660	2529304	GCA_026898135.2	Pseudomonas fortuita	82.0359	96	0.0107573
-	AE015451.2	CIRCULAR	3109322	3111555	6181873	CP101910.1	2642344	2644578	GCA_024508115.1	Pseudomonas putida	85.8734	96	0.0361379
-	AE015451.2	CIRCULAR	3113820	3120789	6181873	CP101910.1	3097772	3104738	GCA_024508115.1	Pseudomonas putida	88.0635	96	0.112749
S	AE015451.2	CIRCULAR	3120790	3123455	6181873	CP114035.2	2580375	2583040	GCA_026898135.2	Pseudomonas fortuita	86.9337	96	0.0431261
-	AE015451.2	CIRCULAR	3123547	3125324	6181873	CP101910.1	703803	705584	GCA_024508115.1	Pseudomonas putida	88.5086	96	0.0287615
-	AE015451.2	CIRCULAR	3125325	3126399	6181873	CP101910.1	2434423	2435501	GCA_024508115.1	Pseudomonas putida	88.5086	96	0.0173896
S	AE015451.2	CIRCULAR	3126455	3127507	6181873	BBIS01000009.1	153257	154309	GCA_000730605.1	Pseudomonas monteilii	90.4229	95.5	0.0170337
S	AE015451.2	CIRCULAR	3127508	3128510	6181873	BBIS01000009.1	154433	155435	GCA_000730605.1	Pseudomonas monteilii	90.4229	95.5	0.0162249
S	AE015451.2	CIRCULAR	3128674	3135290	6181873	CP119325.1	5527382	5533983	GCA_029202525.1	Candidatus Pseudomonas phytovorans	83.8122	96	0.107039
S	AE015451.2	CIRCULAR	3135410	3136627	6181873	CP119325.1	5526072	5527289	GCA_029202525.1	Candidatus Pseudomonas phytovorans	86.9067	96	0.0197028
S	AE015451.2	CIRCULAR	3137946	3139212	6181873	CP119325.1	5523592	5524858	GCA_029202525.1	Candidatus Pseudomonas phytovorans	82.6667	96	0.0204954
S	AE015451.2	CIRCULAR	3139491	3141065	6181873	CP119325.1	5521815	5523390	GCA_029202525.1	Candidatus Pseudomonas phytovorans	80.6962	96	0.0254777
S	AE015451.2	CIRCULAR	3146637	3147811	6181873	BBIS01000061.1	12205	13379	GCA_000730605.1	Pseudomonas monteilii	84.3803	95.5	0.0190072
S	AE015451.2	CIRCULAR	3148781	3149842	6181873	BBIS01000050.1	12448	13511	GCA_000730605.1	Pseudomonas monteilii	84.8315	95.5	0.0171793
S	AE015451.2	CIRCULAR	3155200	3157394	6181873	JABWSB020000003.1	307239	309431	GCA_014269245.2	Pseudomonas kurunegalensis	80.4691	96	0.035507
S	AE015451.2	CIRCULAR	3162333	3166998	6181873	BLJF01000001.1	1744485	1749150	GCA_009932335.1	Pseudomonas asiatica	96.3138	96	0.0754787
S	AE015451.2	CIRCULAR	3167094	3176830	6181873	BLJF01000001.1	1749151	1758886	GCA_009932335.1	Pseudomonas asiatica	96.8987	96	0.157509
-	AE015451.2	CIRCULAR	3176831	3178601	6181873	CP101910.1	2660028	2661801	GCA_024508115.1	Pseudomonas putida	97.2943	96	0.0286483
S	AE015451.2	CIRCULAR	3178602	3198787	6181873	BLJF01000001.1	2145391	2165577	GCA_009932335.1	Pseudomonas asiatica	91.0968	96	0.326535
S	AE015451.2	CIRCULAR	3198788	3198907	6181873	JABWRJ020000001.1	1616084	1616202	GCA_014268935.2	Pseudomonas peradeniyensis	57.6923	96	0.00194116
S	AE015451.2	CIRCULAR	3198908	3199707	6181873	BQHO01000023.1	2950	3749	GCA_021601385.1	Pseudomonas parasichuanensis	89.801	96	0.0129411
S	AE015451.2	CIRCULAR	3199726	3200652	6181873	BQHO01000023.1	3824	4750	GCA_021601385.1	Pseudomonas parasichuanensis	87.069	96	0.0149955
S	AE015451.2	CIRCULAR	3200672	3203104	6181873	BQHO01000023.1	4816	7242	GCA_021601385.1	Pseudomonas parasichuanensis	90.1189	96	0.039357
S	AE015451.2	CIRCULAR	3203105	3224033	6181873	BLJF01000001.1	2119973	2140886	GCA_009932335.1	Pseudomonas asiatica	92.7886	96	0.338554
S	AE015451.2	CIRCULAR	3224034	3224487	6181873	JABWSB020000003.1	21849	22302	GCA_014269245.2	Pseudomonas kurunegalensis	87.2247	96	0.00734405
S	AE015451.2	CIRCULAR	3224508	3226696	6181873	JMIT01000001.1	1481173	1483364	GCA_000731675.1	Pseudomonas capeferrum	88.6312	96	0.03541
-	AE015451.2	CIRCULAR	3226697	3229881	6181873	CP101910.1	2692231	2695416	GCA_024508115.1	Pseudomonas putida	77.9197	96	0.0515216
-	AE015451.2	CIRCULAR	3230037	3234717	6181873	CP101910.1	2695445	2700131	GCA_024508115.1	Pseudomonas putida	89.8359	96	0.0757214
-	AE015451.2	CIRCULAR	3234788	3244213	6181873	CP101910.1	2700350	2709777	GCA_024508115.1	Pseudomonas putida	88.9195	96	0.152478
S	AE015451.2	CIRCULAR	3244317	3245478	6181873	BLJF01000001.1	1770718	1771879	GCA_009932335.1	Pseudomonas asiatica	85.5184	96	0.0187969
-	AE015451.2	CIRCULAR	3245479	3252549	6181873	CP101910.1	2709852	2716922	GCA_024508115.1	Pseudomonas putida	89.1915	96	0.114383
-	AE015451.2	CIRCULAR	3252688	3262732	6181873	CP101910.1	2716933	2726977	GCA_024508115.1	Pseudomonas putida	88.7718	96	0.162491
-	AE015451.2	CIRCULAR	3262908	3266106	6181873	CP101910.1	2727156	2730350	GCA_024508115.1	Pseudomonas putida	89.101	96	0.0517481
-	AE015451.2	CIRCULAR	3266107	3268143	6181873	CP101910.1	2730412	2732448	GCA_024508115.1	Pseudomonas putida	89.101	96	0.0329512
-	AE015451.2	CIRCULAR	3268209	3279232	6181873	CP101910.1	2732538	2743546	GCA_024508115.1	Pseudomonas putida	87.1894	96	0.178328
-	AE015451.2	CIRCULAR	3279485	3287262	6181873	CP101910.1	2743690	2751470	GCA_024508115.1	Pseudomonas putida	87.7423	96	0.125819
-	AE015451.2	CIRCULAR	3287299	3300150	6181873	CP101910.1	2751647	2764489	GCA_024508115.1	Pseudomonas putida	87.8736	96	0.207898
-	AE015451.2	CIRCULAR	3300183	3304747	6181873	CP101910.1	2764562	2769129	GCA_024508115.1	Pseudomonas putida	92.5618	96	0.0738449
-	AE015451.2	CIRCULAR	3304756	3306906	6181873	CP101910.1	2769239	2771389	GCA_024508115.1	Pseudomonas putida	90.2328	96	0.0347953
-	AE015451.2	CIRCULAR	3306907	3312655	6181873	CP101910.1	2771511	2777260	GCA_024508115.1	Pseudomonas putida	90.2328	96	0.0929977
-	AE015451.2	CIRCULAR	3312685	3316866	6181873	CP101910.1	2777329	2781514	GCA_024508115.1	Pseudomonas putida	90.7832	96	0.0676494
S	AE015451.2	CIRCULAR	3316867	3316967	6181873	BLJF01000001.1	2406518	2406603	GCA_009932335.1	Pseudomonas asiatica	54.2857	96	0.00163381
-	AE015451.2	CIRCULAR	3316968	3319130	6181873	CP101910.1	2781555	2783716	GCA_024508115.1	Pseudomonas putida	89.2841	96	0.0349894
-	AE015451.2	CIRCULAR	3319196	3322974	6181873	CP101910.1	2783721	2787495	GCA_024508115.1	Pseudomonas putida	88.3038	96	0.0611303
-	AE015451.2	CIRCULAR	3323066	3326803	6181873	CP101910.1	2796134	2799863	GCA_024508115.1	Pseudomonas putida	88.0781	96	0.0604671
-	AE015451.2	CIRCULAR	3326855	3329544	6181873	CP101910.1	2803433	2806121	GCA_024508115.1	Pseudomonas putida	86.7358	96	0.0435143
-	AE015451.2	CIRCULAR	3329580	3335676	6181873	CP101910.1	2806184	2812295	GCA_024508115.1	Pseudomonas putida	91.8574	96	0.0986271
-	AE015451.2	CIRCULAR	3335760	3339088	6181873	CP101910.1	2812324	2815651	GCA_024508115.1	Pseudomonas putida	87.6351	96	0.053851
-	AE015451.2	CIRCULAR	3339185	3341219	6181873	CP101910.1	2815686	2817721	GCA_024508115.1	Pseudomonas putida	94.3081	96	0.0329188
S	AE015451.2	CIRCULAR	3343484	3344291	6181873	CP114035.2	4057747	4058557	GCA_026898135.2	Pseudomonas fortuita	87.6695	96	0.0130705
S	AE015451.2	CIRCULAR	3344333	3345038	6181873	BBIS01000037.1	52038	52742	GCA_000730605.1	Pseudomonas monteilii	84.2475	95.5	0.0114205
-	AE015451.2	CIRCULAR	3351004	3351488	6181873	CP101910.1	4034464	4034948	GCA_024508115.1	Pseudomonas putida	90.3491	96	0.00784552
-	AE015451.2	CIRCULAR	3352242	3354619	6181873	CP101910.1	3877880	3880257	GCA_024508115.1	Pseudomonas putida	85.7083	96	0.0384673
S	AE015451.2	CIRCULAR	3354691	3355891	6181873	CP119325.1	4544372	4545572	GCA_029202525.1	Candidatus Pseudomonas phytovorans	87.7805	96	0.0194278
S	AE015451.2	CIRCULAR	3355953	3357998	6181873	CP081966.1	2958315	2960360	GCA_019823065.1	Pseudomonas mosselii	88.1951	96	0.0330968
S	AE015451.2	CIRCULAR	3358112	3358469	6181873	JABWRJ020000001.1	1671948	1672305	GCA_014268935.2	Pseudomonas peradeniyensis	88.2682	96	0.00579113
S	AE015451.2	CIRCULAR	3358767	3362451	6181873	BQHO01000034.1	57465	61150	GCA_021601385.1	Pseudomonas parasichuanensis	79.7844	96	0.0596098
S	AE015451.2	CIRCULAR	3362811	3364272	6181873	AUEC01000024.1	105072	106536	GCA_000425785.1	Pseudomonas taiwanensis	85.2961	96	0.0236498
S	AE015451.2	CIRCULAR	3364350	3366322	6181873	AUEC01000011.1	100122	102093	GCA_000425785.1	Pseudomonas taiwanensis	81.7079	96	0.0319159
S	AE015451.2	CIRCULAR	3367223	3369672	6181873	BBIS01000068.1	15816	18265	GCA_000730605.1	Pseudomonas monteilii	90.0408	95.5	0.039632
S	AE015451.2	CIRCULAR	3380308	3382693	6181873	BBIS01000075.1	15275	17641	GCA_000730605.1	Pseudomonas monteilii	88.2992	95.5	0.0385967
S	AE015451.2	CIRCULAR	3383592	3384122	6181873	CP119325.1	4179191	4179721	GCA_029202525.1	Candidatus Pseudomonas phytovorans	81.8011	96	0.00858963
S	AE015451.2	CIRCULAR	3388084	3390576	6181873	BSOM01000011.1	249788	252282	GCA_030160515.1	Pseudomonas plecoglossicida	89.7959	96	0.0403276
-	AE015451.2	CIRCULAR	3390711	3392047	6181873	CP101910.1	1904739	1906070	GCA_024508115.1	Pseudomonas putida	88.4817	96	0.0216277
S	AE015451.2	CIRCULAR	3392145	3392755	6181873	CP114035.2	1941746	1942356	GCA_026898135.2	Pseudomonas fortuita	91.4894	96	0.00988374
S	AE015451.2	CIRCULAR	3392820	3393409	6181873	AUEC01000011.1	105072	105663	GCA_000425785.1	Pseudomonas taiwanensis	89.0203	96	0.00954403
S	AE015451.2	CIRCULAR	3393422	3393528	6181873	JABWRY020000001.1	3400111	3400217	GCA_014269205.2	Pseudomonas kermanshahensis	78.5047	96	0.00173087
-	AE015451.2	CIRCULAR	3393529	3398782	6181873	CP101910.1	2353604	2358856	GCA_024508115.1	Pseudomonas putida	85.7686	96	0.0849904
S	AE015451.2	CIRCULAR	3399336	3401264	6181873	BQHO01000010.1	33982	35917	GCA_021601385.1	Pseudomonas parasichuanensis	85.0232	96	0.0312041
S	AE015451.2	CIRCULAR	3401755	3401948	6181873	JABWSB020000009.1	9852	10045	GCA_014269245.2	Pseudomonas kurunegalensis	91.2821	96	0.00313821
S	AE015451.2	CIRCULAR	3401951	3402524	6181873	JABWSB020000009.1	10306	10884	GCA_014269245.2	Pseudomonas kurunegalensis	81.6014	96	0.00928521
S	AE015451.2	CIRCULAR	3404001	3404345	6181873	BBIS01000009.1	286098	286442	GCA_000730605.1	Pseudomonas monteilii	85.879	95.5	0.00558083
-	AE015451.2	CIRCULAR	3404559	3407135	6181873	CP101910.1	3329158	3331733	GCA_024508115.1	Pseudomonas putida	87.1755	96	0.0416864
-	AE015451.2	CIRCULAR	3407236	3408610	6181873	CP101910.1	3327220	3328603	GCA_024508115.1	Pseudomonas putida	86.969	96	0.0222424
S	AE015451.2	CIRCULAR	3408611	3409938	6181873	BBIS01000009.1	308528	309863	GCA_000730605.1	Pseudomonas monteilii	84.8802	95.5	0.0214822
S	AE015451.2	CIRCULAR	3415175	3415410	6181873	CP077076.1	1930677	1930912	GCA_019139895.1	Pseudomonas fakonensis	75.5187	96	0.00381761
S	AE015451.2	CIRCULAR	3415411	3417220	6181873	CP034338.1	1958954	1960763	GCA_003940825.1	Pseudomonas oryziphila	91.105	96	0.0292792
S	AE015451.2	CIRCULAR	3417221	3425240	6181873	CP114035.2	1888088	1896111	GCA_026898135.2	Pseudomonas fortuita	91.4065	96	0.129734
S	AE015451.2	CIRCULAR	3425292	3432064	6181873	JABWRZ020000001.1	3644798	3651562	GCA_014269185.2	Pseudomonas oryzicola	82.6522	96	0.109562
S	AE015451.2	CIRCULAR	3432065	3432702	6181873	JABWSB020000030.1	1851	2488	GCA_014269245.2	Pseudomonas kurunegalensis	87.4608	96	0.0103205
S	AE015451.2	CIRCULAR	3432703	3434508	6181873	JABWRZ020000001.1	3642375	3644159	GCA_014269185.2	Pseudomonas oryzicola	76.2665	96	0.0292144
S	AE015451.2	CIRCULAR	3434596	3436551	6181873	OPYN01000069.1	22125	24080	GCA_900277125.1	Pseudomonas inefficax	78.4553	96	0.0316409
S	AE015451.2	CIRCULAR	3438856	3442764	6181873	BBIS01000010.1	200403	204316	GCA_000730605.1	Pseudomonas monteilii	83.9644	95.5	0.0632333
S	AE015451.2	CIRCULAR	3442765	3442951	6181873	OPYN01000069.1	29990	30176	GCA_900277125.1	Pseudomonas inefficax	71.3542	96	0.00302497
S	AE015451.2	CIRCULAR	3444320	3447807	6181873	BBIS01000010.1	205986	209480	GCA_000730605.1	Pseudomonas monteilii	82.2089	95.5	0.056423
-	AE015451.2	CIRCULAR	3450712	3452030	6181873	CP101910.1	3324460	3325778	GCA_024508115.1	Pseudomonas putida	86.7324	96	0.0213366
S	AE015451.2	CIRCULAR	3452031	3452400	6181873	BBIS01000009.1	311170	311539	GCA_000730605.1	Pseudomonas monteilii	82.2102	95.5	0.00598524
